content_id,account_id,visite_time,lead_pay_visitor_ids
221223312503,762256650,20230520,
221223312503,762256650,20230519,
18658223234880,62124943680,20230528,
18658223234880,62124943680,20230527,
20129432908200,12125275176,20230530,
20129432908200,12125275176,20230531,
2750278583811,12146361062,20230605,
2750278583811,12146361062,20230604,
19491570747649,11817566915,20230606,
19491570747649,11817566915,20230607,
16651113602880,194838196736,20230614,
16651113602880,194838196736,20230615,
11197016226600,73281037826,20230615,
11197016226600,73281037826,20230616,
26051911540300,249485664400,20230616,
26051911540300,249485664400,20230615,
18112116765352,149700118406612,20230626,
18112116765352,149700118406612,20230627,
9106358640916,64530939336,20230629,
9106358640916,64530939336,20230630,
7054138248534,4522496966,20230706,
7054138248534,4522496966,20230707,
15467499939584,112326258744,20230720,"1118119161,1591648861,1191120681,1115265111"
15467499939584,112326258744,20230719,"1767811661,1363113161"
227048431145,624559329,20230523,
227048431145,624559329,20230524,
18528029191840,182083851600,20230527,"1151924321,110148011,1118139168411"
18528029191840,182083851600,20230526,
21419710980612,87738454104,20230609,
21419710980612,87738454104,20230608,
2835375076567,1956580670,20230612,
2835375076567,1956580670,20230611,
19943705072522,30553836929,20230613,
19943705072522,30553836929,20230612,
16595776114304,182994278464,20230614,
16595776114304,182994278464,20230613,
11159611788177,4092683799,20230614,
11159611788177,4092683799,20230615,
25989801567200,4936229800,20230615,
25989801567200,4936229800,20230614,
17712668516412,114962814704,20230615,
17712668516412,114962814704,20230616,
8863545581434,95296396800,20230616,
8863545581434,95296396800,20230617,
6838996207784,20896362266,20230622,
6838996207784,20896362266,20230621,
14859827591560,45114924904,20230625,
14859827591560,45114924904,20230624,
6683001965175,61094581775,20230628,
6683001965175,61094581775,20230629,
9123262741604,95185755564,20230702,
9123262741604,95185755564,20230701,
14809244801230,14715547550,20230703,
14809244801230,14715547550,20230702,
7572500913292,61779904834984,20230704,
7572500913292,61779904834984,20230705,
21513514857046,182889932602,20230710,
21513514857046,182889932602,20230709,
9577782750725,123332385470,20230714,
9577782750725,123332385470,20230713,
7168791016920,1650266540,20230719,
7168791016920,1650266540,20230718,
26957883897868,46347071808,20230724,
26957883897868,46347071808,20230725,
24015435809256,97101346464,20230728,
24015435809256,97101346464,20230729,
4479705593600,17121381712,20230729,
4479705593600,17121381712,20230730,
23743949237978,14637383743,20230814,
23743949237978,14637383743,20230813,
222245717555,696013449,20230520,
222245717555,696013449,20230521,
18003870955280,235452036960,20230523,
18003870955280,235452036960,20230524,
19561050846624,271396460328,20230527,
19561050846624,271396460328,20230528,
2584525299301,30831187200,20230528,
2584525299301,30831187200,20230529,
19102975554971,160273638140,20230602,
19102975554971,160273638140,20230603,
16313919016320,4000411072,20230608,
16313919016320,4000411072,20230609,
11145123184825,934272954,20230614,
11145123184825,934272954,20230613,
26435484469000,79611508600,20230623,
26435484469000,79611508600,20230622,
18057754459452,3664735832,20230625,
18057754459452,3664735832,20230624,
9044369660716,549445338,20230626,
9044369660716,549445338,20230625,
7066728330688,103262999632,20230707,
7066728330688,103262999632,20230708,
15336862090648,23478492408,20230714,
15336862090648,23478492408,20230713,
6852069101575,41677223200,20230715,
6852069101575,41677223200,20230714,
9400120209540,9297061898,20230720,
9400120209540,9297061898,20230721,
15392618409465,198112152865,20230730,
15392618409465,198112152865,20230729,
7842226980448,50693048616,20230730,
7842226980448,50693048616,20230731,
22206736497966,63751606282,20230801,116698931
22206736497966,63751606282,20230731,
9963905763385,77167832897050,20230809,
9963905763385,77167832897050,20230808,
253578328951,1745589995,20230607,
253578328951,1745589995,20230606,
20737010937680,128731977200,20230613,
20737010937680,128731977200,20230614,
22037517696348,158911764732,20230620,
22037517696348,158911764732,20230619,
2936193554921,37935793665,20230628,
2936193554921,37935793665,20230627,
20638607490655,237626924073,20230701,
20638607490655,237626924073,20230630,
17306998053184,67142736512,20230704,
17306998053184,67142736512,20230703,
11772581000801,17343513790,20230714,
11772581000801,17343513790,20230713,
27696259717100,20402512300,20230723,
27696259717100,20402512300,20230722,
18903883393464,114098277256,20230725,
18903883393464,114098277256,20230724,
9729791677844,22894583808,20230815,
9729791677844,22894583808,20230814,
7441639635170,105000735034,20230815,
7441639635170,105000735034,20230814,
261662485501,706578607,20230618,
261662485501,706578607,20230619,
20996609801520,157981841440,20230620,
20996609801520,157981841440,20230621,
22581269500692,340446415764,20230701,
22581269500692,340446415764,20230702,
2975615502244,823753777,20230705,
2975615502244,823753777,20230704,
21282156848260,286118289534,20230720,
21282156848260,286118289534,20230721,
17777632298304,44337225152,20230724,
17777632298304,44337225152,20230725,
12021523448594,89513296510,20230728,
12021523448594,89513296510,20230729,
27999294649100,58130010600,20230731,
27999294649100,58130010600,20230730,
19165680589484,203451033688,20230804,
19165680589484,203451033688,20230803,
9642176028604,75095709276950,20230807,
9642176028604,75095709276950,20230806,
7385479214594,1114485736,20230807,
7385479214594,1114485736,20230808,
15982122971640,103485417392,20230810,
15982122971640,103485417392,20230811,
7158704630475,17957610675,20230815,
233907357740,658651248,20230527,
233907357740,658651248,20230528,
20218839757440,4216619520,20230607,
20218839757440,4216619520,20230606,
21308675340372,9137880780,20230607,
21308675340372,9137880780,20230608,
2902898296584,339712362,20230622,
2902898296584,339712362,20230623,
20387141112723,194690109075,20230624,
20387141112723,194690109075,20230623,
16989018067200,52862961216,20230624,
16989018067200,52862961216,20230625,
11590624248590,16725142615,20230702,
11590624248590,16725142615,20230703,
27179164022900,198291246800,20230707,
27179164022900,198291246800,20230708,
18528916475080,130685938652,20230710,
18528916475080,130685938652,20230709,
9268832178930,24723108126,20230711,
9268832178930,24723108126,20230710,
7152432963286,54340870506,20230718,
7152432963286,54340870506,20230717,
15470981321600,1259627992,20230719,
15470981321600,1259627992,20230720,
6906877467025,18327660125,20230720,
6906877467025,18327660125,20230719,
9423104788254,74827826668008,20230722,
