epoch,r1_rec,r1_ndcg,r2_rec,r2_ndcg,r3_rec,r3_ndcg,AUC
0,0.9629629629629629,0.5467920490374102,0.8888888888888888,0.5420707011399889,0.8518518518518519,0.5396834651198757,0.5976761074800291
1,0.9629629629629629,0.5461091541807628,0.8888888888888888,0.5413702999812385,0.8518518518518519,0.5389634858950416,0.5969498910675382
2,0.9629629629629629,0.5460244274255647,0.8888888888888888,0.5412810468879381,0.8518518518518519,0.5388514230893032,0.5969498910675382
3,1.0,0.5485625786990137,0.8888888888888888,0.5413791343667735,0.8518518518518519,0.5389522523727724,0.6000968288549987
4,1.0,0.548121670932254,0.8888888888888888,0.5409030904426838,0.8518518518518519,0.5384629017610965,0.5988864681675139
5,1.0,0.5477968641483001,0.9259259259259259,0.5429510579742419,0.8518518518518519,0.5380827448260338,0.6005809731299927
6,1.0,0.5471261747373085,1.0,0.5471261747373085,0.8888888888888888,0.539577686619351,0.6027596223674655
7,1.0,0.5467771662746157,1.0,0.5467771662746157,0.8888888888888888,0.5389623521494488,0.6044541273299442
8,1.0,0.5465587994854126,1.0,0.5465587994854126,1.0,0.5465587994854126,0.6071169208424111
9,1.0,0.5466051244962057,1.0,0.5466051244962057,1.0,0.5466051244962057,0.6097797143548778
10,1.0,0.544670844155642,1.0,0.544670844155642,1.0,0.544670844155642,0.6046961994674414
11,1.0,0.5441768801931549,1.0,0.5441768801931549,1.0,0.5441768801931549,0.5998547567175018
12,1.0,0.5427305219843407,1.0,0.5427305219843407,1.0,0.5427305219843407,0.58799322198015
13,1.0,0.5418223062211812,1.0,0.5418223062211812,1.0,0.5418223062211812,0.5812152021302348
14,1.0,0.5411196445393837,1.0,0.5411196445393837,1.0,0.5411196445393837,0.578552408617768
15,1.0,0.5406806323050701,1.0,0.5406806323050701,1.0,0.5406806323050701,0.5768579036552892
16,1.0,0.5411303732641699,1.0,0.5411303732641699,1.0,0.5411303732641699,0.5766158315177923
17,1.0,0.5407641700714428,1.0,0.5407641700714428,1.0,0.5407641700714428,0.5722585330428467
18,1.0,0.5398836366306413,1.0,0.5398836366306413,1.0,0.5398836366306413,0.5659646574679253
19,1.0,0.5399863590713662,1.0,0.5399863590713662,1.0,0.5399863590713662,0.5635439360929557
20,1.0,0.5372415770698311,1.0,0.5372415770698311,1.0,0.5372415770698311,0.5470830307431614
21,1.0,0.5352932468628409,1.0,0.5352932468628409,1.0,0.5352932468628409,0.5347373517308158
22,1.0,0.5319732616028169,1.0,0.5319732616028169,1.0,0.5319732616028169,0.5185185185185185
23,1.0,0.5303069622488537,1.0,0.5303069622488537,1.0,0.5303069622488537,0.5105301379811185
24,1.0,0.5265904834789057,1.0,0.5265904834789057,1.0,0.5265904834789057,0.5044783345436941
25,1.0,0.5261726000750514,1.0,0.5261726000750514,1.0,0.5261726000750514,0.5049624788186879
26,1.0,0.5223494805853447,1.0,0.5223494805853447,1.0,0.5223494805853447,0.5003631082062454
27,1.0,0.5159398468163617,1.0,0.5159398468163617,1.0,0.5159398468163617,0.4935850883563302
28,1.0,0.5100782867670098,1.0,0.5100782867670098,1.0,0.5100782867670098,0.4841442749939482
29,1.0,0.5043468252084422,1.0,0.5043468252084422,1.0,0.5043468252084422,0.4710723795691116
30,1.0,0.4990958993803932,1.0,0.4990958993803932,1.0,0.4990958993803932,0.4548535463568143
31,1.0,0.49897682455699954,1.0,0.49897682455699954,1.0,0.49897682455699954,0.45364318566932943
32,1.0,0.496009616149069,1.0,0.496009616149069,1.0,0.496009616149069,0.44662309368191716
33,1.0,0.49043405112390936,1.0,0.49043405112390936,1.0,0.49043405112390936,0.4255628177196804
34,1.0,0.4900085086703371,1.0,0.4900085086703371,1.0,0.4900085086703371,0.42023723069474705
35,1.0,0.49137705585491726,1.0,0.49137705585491726,1.0,0.49137705585491726,0.4183006535947712
36,1.0,0.4924478150618262,1.0,0.4924478150618262,1.0,0.4924478150618262,0.41587993221980146
37,1.0,0.4952463532118959,1.0,0.4952463532118959,1.0,0.4952463532118959,0.41491164366981353
38,1.0,0.4973148181762301,1.0,0.4973148181762301,1.0,0.4973148181762301,0.4137012829823287
39,1.0,0.4980647910669912,1.0,0.4980647910669912,1.0,0.4980647910669912,0.41418542725732266
40,1.0,0.5003362004611839,1.0,0.5003362004611839,1.0,0.5003362004611839,0.41515371580731053
41,1.0,0.49768035559802004,1.0,0.49768035559802004,1.0,0.49768035559802004,0.41466957153231665
42,1.0,0.49744354714928146,1.0,0.49744354714928146,1.0,0.49744354714928146,0.41297506656983785
43,1.0,0.4973176745339754,1.0,0.4973176745339754,1.0,0.4973176745339754,0.4132171387073348
44,1.0,0.4995444454021833,1.0,0.4995444454021833,1.0,0.4995444454021833,0.4129750665698378
45,1.0,0.5043195779077627,1.0,0.5043195779077627,1.0,0.5043195779077627,0.4137012829823287
46,1.0,0.5077162352504776,1.0,0.5077162352504776,1.0,0.5077162352504776,0.4144274993948196
47,1.0,0.5089933063991097,1.0,0.5089933063991097,1.0,0.5089933063991097,0.4139433551198257
48,1.0,0.5103003994840706,1.0,0.5103003994840706,1.0,0.5103003994840706,0.41442749939481965
49,1.0,0.5100985886478935,1.0,0.5100985886478935,1.0,0.5100985886478935,0.4137012829823287
50,1.0,0.5098088349315538,1.0,0.5098088349315538,1.0,0.5098088349315538,0.411522633744856
51,1.0,0.5093443968564069,1.0,0.5093443968564069,1.0,0.5093443968564069,0.4095860566448801
52,1.0,0.5091572226063955,1.0,0.5091572226063955,1.0,0.5091572226063955,0.4078915516824014
53,1.0,0.5073933704673861,1.0,0.5073933704673861,1.0,0.5073933704673861,0.4054708303074316
54,1.0,0.507233534341453,1.0,0.507233534341453,1.0,0.507233534341453,0.4042604696199467
55,1.0,0.5073691495987896,1.0,0.5073691495987896,1.0,0.5073691495987896,0.40498668603243765
56,1.0,0.5073411885088805,1.0,0.5073411885088805,1.0,0.5073411885088805,0.4040183974824497
57,1.0,0.5063373863796451,1.0,0.5063373863796451,1.0,0.5063373863796451,0.40474461389494065
58,1.0,0.5064357107993587,1.0,0.5064357107993587,1.0,0.5064357107993587,0.4054708303074316
59,1.0,0.5063863586246626,1.0,0.5063863586246626,1.0,0.5063863586246626,0.4045025417574437
60,1.0,0.50657073444064,1.0,0.50657073444064,1.0,0.50657073444064,0.4049866860324376
61,1.0,0.506834409003186,1.0,0.506834409003186,1.0,0.506834409003186,0.4059549745824256
62,1.0,0.5069756242441807,1.0,0.5069756242441807,1.0,0.5069756242441807,0.4059549745824255
63,1.0,0.5069389898463119,1.0,0.5069389898463119,1.0,0.5069389898463119,0.40498668603243765
64,1.0,0.5071004571374033,1.0,0.5071004571374033,1.0,0.5071004571374033,0.4057129024449285
65,1.0,0.5073451483268252,1.0,0.5073451483268252,1.0,0.5073451483268252,0.40692326313241345
66,1.0,0.5088716807110755,1.0,0.5088716807110755,1.0,0.5088716807110755,0.4076494795449043
67,1.0,0.5088594643532044,1.0,0.5088594643532044,1.0,0.5088594643532044,0.40692326313241345
68,1.0,0.5090802223587586,1.0,0.5090802223587586,1.0,0.5090802223587586,0.4076494795449043
69,1.0,0.5091237019479238,1.0,0.5091237019479238,1.0,0.5091237019479238,0.4074074074074074
70,1.0,0.5089552139872121,1.0,0.5089552139872121,1.0,0.5089552139872121,0.4054708303074316
71,1.0,0.5089975339117254,1.0,0.5089975339117254,1.0,0.5089975339117254,0.4054708303074316
72,1.0,0.5089662597868453,1.0,0.5089662597868453,1.0,0.5089662597868453,0.4042604696199467
73,1.0,0.5089523374483508,1.0,0.5089523374483508,1.0,0.5089523374483508,0.4037763253449527
74,1.0,0.5089327849748414,1.0,0.5089327849748414,1.0,0.5089327849748414,0.40329218106995884
75,1.0,0.5090399552829828,1.0,0.5090399552829828,1.0,0.5090399552829828,0.4040183974824498
76,1.0,0.5089730989429103,1.0,0.5089730989429103,1.0,0.5089730989429103,0.4042604696199467
77,1.0,0.5088787918179332,1.0,0.5088787918179332,1.0,0.5088787918179332,0.4037763253449528
78,1.0,0.5089052442835297,1.0,0.5089052442835297,1.0,0.5089052442835297,0.40353425320745584
79,1.0,0.509044742855291,1.0,0.509044742855291,1.0,0.509044742855291,0.4045025417574437
80,1.0,0.508980598220799,1.0,0.508980598220799,1.0,0.508980598220799,0.40426046961994677
81,1.0,0.5088859934924853,1.0,0.5088859934924853,0.9629629629629629,0.5052826868038067,0.4032921810699589
82,1.0,0.5088840896421414,1.0,0.5088840896421414,0.9629629629629629,0.5052807354798258,0.4028080367949649
83,1.0,0.5093727590321804,1.0,0.5093727590321804,0.9629629629629629,0.5058009879008798,0.4023238925199709
84,1.0,0.5092134361073452,1.0,0.5092134361073452,0.9259259259259259,0.5020205574454696,0.40087145969498905
85,1.0,0.5091408546166248,1.0,0.5091408546166248,0.9259259259259259,0.5019837092012802,0.4001452432824982
