epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC,time
0,0.0,0.0,0.125,0,0,0.2883232600504137,0.5376984126984127,1.547699213027954
1,0.0,0.0,0.125,0,0,0.2872461151202273,0.5325963718820862,1.6460449695587158
2,0.0,0.0,0.125,0,0,0.2880721098891724,0.5291950113378685,1.569854736328125
3,0.0,0.0,0.125,0,0,0.2891492548193588,0.526077097505669,1.6065897941589355
4,0.0,0.0,0.125,0,0,0.2891492548193588,0.524092970521542,1.5817017555236816
5,0.0,0.0,0.125,0,0,0.2913097675742113,0.5172902494331066,1.5819065570831299
6,0.0,0.0,0.125,0,0,0.29339398084214724,0.520124716553288,1.6698014736175537
7,0.0,0.0,0.125,0,0,0.2963471828650813,0.5195578231292517,1.6280531883239746
8,0.0,0.0,0.125,0,0,0.29749040952101763,0.517857142857143,1.7679145336151123
9,0.0,0.0,0.125,0,0,0.29958484055012025,0.5187074829931972,1.7272803783416748
