,max,mean,std,q1,q2,q3,q4,q5,q6,q7,q8,q9
favor_pv_1d,582.0,8.701829924650161,45.1412956368194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
favor_uv_1d,582.0,8.701829924650161,45.1412956368194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_pv_1d,100.0,0.44833153928955866,5.387491237588767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_uv_1d,100.0,0.44833153928955866,5.387491237588767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_pv_1d,896.0,1.9520990312163617,26.19557708697482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_uv_1d,392.0,1.4671689989235737,13.909750211531078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collect_pv_1d,258.0,1.7168998923573735,13.942243533063664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collect_uv_1d,258.0,1.7168998923573735,13.942243533063664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attention_pv_1d,660.0,2.1280947255113025,21.574999910524113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attention_uv_1d,136.0,1.2868675995694294,9.90259778826109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ipv_pv_1d,11440.0,196.96232508073197,760.5943256765435,0.0,0.0,0.0,0.0,0.0,0.0,34.0,128.60000000000014,469.4999999999998
ipv_uv_1d,7440.0,122.2475780409042,464.6617788462557,0.0,0.0,0.0,0.0,0.0,0.0,26.0,84.0,280.0
lead_shop_pv_1d,11440.0,196.96232508073197,760.5943256765435,0.0,0.0,0.0,0.0,0.0,0.0,34.0,128.60000000000014,469.4999999999998
lead_shop_uv_1d,7440.0,122.2475780409042,464.6617788462557,0.0,0.0,0.0,0.0,0.0,0.0,26.0,84.0,280.0
cart_cnt_1d,816.0,8.422497308934338,47.26804225747406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cart_item_qty_1d,869.0,8.917115177610334,51.10464854308941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cart_amt_1d,2287050.0,4030.9950430570507,57752.08635561563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cart_uv_1d,816.0,7.956942949407965,44.5996524797195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_cnt_1d,873.0,2.938643702906351,32.21997130809336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_item_qty_1d,873.0,3.0096878363832076,33.690550869471885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_amt_1d,29232.0,170.21319160387515,1583.997173284237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_buyer_cnt_1d,873.0,2.810010764262648,31.496030930118206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zhongcao_pv_1d,77616.0,1223.0096878363831,4470.94218534271,0.0,0.0,0.0,0.0,28.0,132.80000000000018,384.89999999999986,1025.8000000000004,2623.3
zhongcao_uv_1d,72996.0,815.6027987082884,3425.3707290732395,0.0,0.0,0.0,0.0,25.0,99.0,244.49999999999932,671.6000000000001,1592.4999999999998
zhongcao_pv_1d_consume,76356.0,999.078040904198,3952.3926051394305,0.0,0.0,0.0,0.0,22.0,100.0,271.1999999999989,748.0,1985.999999999999
zhongcao_uv_1d_consume,72996.0,777.5080731969861,3366.450010760333,0.0,0.0,0.0,0.0,17.0,79.0,231.0,608.0000000000014,1479.199999999999
zhongcao_pv_1d_cart,8160.0,24.423035522066737,224.79685018365626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zhongcao_uv_1d_cart,1617.0,9.77664155005382,67.32792265236243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zhongcao_pv_1d_ipv,11440.0,204.21097954790096,794.055920714239,0.0,0.0,0.0,0.0,0.0,0.0,34.0,128.60000000000014,473.29999999999995
zhongcao_uv_1d_ipv,7440.0,128.7653390742734,504.2490375954145,0.0,0.0,0.0,0.0,0.0,0.0,26.0,84.0,293.6999999999996
pay_order_cnt_1d_zc,1649.0,10.516684607104413,80.3719945182517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_item_qty_1d_zc,1649.0,11.407427341227127,84.88114081131027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_amt_1d_zc,359660.0,1297.4694346323386,13087.136721096434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_buyer_cnt_1d_zc,1649.0,9.914962325080731,77.39434775296925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
