epoch,r1_rec,r1_ndcg,r2_rec,r2_ndcg,r3_rec,r3_ndcg,AUC
0,0.36622442709874153,0.880300731898907,0.5204469426302255,0.8727781659404098,0.6926245363311563,0.8631826635204808,0.8293130930204118
1,0.4029765833010946,0.8994399071463628,0.562228341260269,0.8889957282904991,0.7377284209089047,0.8776293584868,0.8535871639958991
2,0.4228432287281251,0.901566233167645,0.5838927701795508,0.8919624348753714,0.7522244726122477,0.8813925748498707,0.8644178618642815
3,0.4284413899824773,0.9038507434805014,0.5909018501240243,0.8941960547155403,0.7555469585599527,0.883452444513185,0.8654835073986746
4,0.43169560567098286,0.9054162778715344,0.5937009307512005,0.8954734969080601,0.7582777689279293,0.8848019397130404,0.8593810610780475
5,0.43278792981817354,0.9050311331048564,0.5979792003276972,0.8951823138294098,0.7643083084905445,0.8846761198719174,0.871460967167421
6,0.4325831190405753,0.9048126167605898,0.5979792003276972,0.8950917404691359,0.7634207951209522,0.8845812898889343,0.8682392534648748
7,0.4347905240880231,0.9072827531440415,0.6012561727692692,0.8970851151900874,0.7668570648339895,0.8864232999541446,0.8691746733589568
8,0.43620144277814443,0.9077977274682443,0.6026443347063241,0.8975901739345027,0.7695651184488997,0.8866804409276977,0.8761949878817659
9,0.43797646951732927,0.9089231755300475,0.6032132535329859,0.8984515379117228,0.7646951732926746,0.8876813138642385,0.8640492695754313
10,0.43724825341920215,0.9067317671608858,0.6039187128780465,0.8967858115152111,0.7672439296361195,0.8862377565432034,0.8715346461562653
11,0.43884122613385523,0.9080692521296964,0.6047834694945725,0.8979832330025295,0.7684500375486426,0.8873124665294899,0.8740615731171167
12,0.43809025328266166,0.9083061809205353,0.6041690371617777,0.8980879461586644,0.7686320915731744,0.8870617507394357,0.8611929740091236
13,0.43752133445599983,0.9069927867917018,0.6033725508044512,0.8969283658295198,0.7669480918462553,0.8862449456652248,0.8692799225748504
14,0.4400245772933118,0.9076686905612885,0.6058075233825638,0.8976002182565999,0.7713401451880846,0.8869150122287173,0.8725089854312796
15,0.4412306852058348,0.908171313765236,0.6063991989622921,0.8980732212809454,0.7708850101267551,0.8874869838192735,0.8699344099635191
16,0.4412534419589013,0.9080435189296477,0.607696333887081,0.8980311278611096,0.7732744691987348,0.8873629150767404,0.8726764605585374
17,0.44104863118130305,0.908167089887572,0.6088796850465376,0.898132196054245,0.7727283071251394,0.8876010341451204,0.8716457048148472
18,0.44186787429169605,0.9077260946187466,0.6082424959606764,0.8978783681152395,0.7684500375486426,0.8873180129109659,0.8635263191970223
19,0.44280090116742143,0.9092110255713615,0.6100630362059941,0.8991143747340945,0.7762556038504426,0.888297354906658,0.878506373909367
20,0.4423230093530255,0.9081082768141245,0.610586441526523,0.898204546190205,0.7732061989395353,0.8877093544692549,0.8709950208281213
21,0.44391598206767857,0.9088817542069542,0.6109050360694536,0.8988832954605039,0.7747081446419225,0.888219872357552,0.8776057572450091
22,0.4429146849327538,0.9085483953073988,0.6112919008715837,0.8985304215021148,0.7764376578749744,0.8878554458729347,0.8723242208681073
23,0.4438932253146121,0.90794210589478,0.6109960630817195,0.8980904695889251,0.77304690166807,0.8874751932476052,0.8753150192328059
24,0.44154927974876546,0.9087199547884075,0.6103133604897253,0.8985742664535598,0.7740937123091277,0.8878442310663968,0.8777052814487385
25,0.44412079284527683,0.9092858963222483,0.6111326036001183,0.8991779810004046,0.7735703069885989,0.8885197381156419,0.8774219075921504
26,0.44396149557381154,0.9095458483488759,0.6115422251553149,0.8993704244715652,0.7735930637416654,0.8887038450853122,0.8727695925501697
27,0.4448945224495369,0.9087298123746032,0.6123614682657078,0.8987985677229644,0.7767107389117721,0.8881066962780242,0.8770869035286476
28,0.44539517101699927,0.9090414692391741,0.6122931980065084,0.8991030614013544,0.7758914958013791,0.8884070599461859,0.8791135143705074
29,0.44453041440047336,0.9084333588365155,0.6126345493025055,0.8986500617172913,0.7761190633320438,0.888048743003367,0.8771004734230218
30,0.444371117129008,0.909003963382261,0.6135903329312974,0.8989679105723343,0.7766197118995062,0.888286268783878,0.8779267351667388
31,0.4453269007577999,0.9092730759778382,0.6137496302027626,0.8992193564835161,0.775982522813645,0.8887075478166224,0.8776959095405423
32,0.4454861980292652,0.9096593650528243,0.6127710898209043,0.8996131012439681,0.7754591174931161,0.888912448987055,0.8716620444129921
33,0.4462144141273923,0.9091077716383326,0.6145233598070228,0.8992961305722235,0.7730696584211365,0.8888998052362337,0.8662936479908799
34,0.4461916573743258,0.9093621658700392,0.6125435222902397,0.8994490451296064,0.7759597660605785,0.8888017598770062,0.8724608839326673
35,0.4459185763375282,0.9095968140379923,0.6132034681291674,0.8995089771683856,0.7732061989395353,0.8889241180843521,0.8601097174301592
36,0.4449172792026034,0.9086263975980965,0.6143640625355574,0.898760086975666,0.7769838199485697,0.8882325797851504,0.8742395767794854
37,0.44610063036205994,0.9089080503263798,0.6143868192886239,0.8990204662911802,0.7770748469608356,0.8883495167837185,0.8796646301191036
38,0.4466467924356553,0.9092823200662581,0.6148191975968869,0.8993318053967281,0.7790774412306852,0.8885450263944532,0.869768417250224
39,0.4472839815215165,0.909710801172081,0.6144095760416903,0.8996760798699962,0.7794187925266823,0.8889095189411784,0.8795379080267229
40,0.44780738684204535,0.9095729132824424,0.6133172518944997,0.8997651698936335,0.7772569009853674,0.8890085920387245,0.8723848047914431
41,0.4483535489156407,0.9100134177119575,0.6152060623990169,0.9001370654217931,0.778872630453087,0.8893189210992603,0.8811491480710493
42,0.44764808957058005,0.9088959627525458,0.6148647111030198,0.8991269882872374,0.7799194410941447,0.8884502262919985,0.8815037397160698
