epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC,time,,m2,m1
49,0.455203332,0.627176115,0.794051385,0.910589202,0.900753383,0.890105591,0.883098259,337.8907752,,0.794051385,0.785153494
50,0.454566143,0.627471952,0.794870628,0.910989432,0.901008409,0.890303054,0.88186961,333.0830185,,0.794870628,0.79450652
51,0.452768359,0.623990169,0.793823817,0.910488056,0.900479484,0.889657627,0.885963788,338.2954307,,0.793823817,0.796691168
52,0.455408142,0.628404979,0.79632706,0.911016559,0.901136879,0.890346879,0.887829455,333.2559674,,0.79632706,0.798602735
53,0.4529049,0.626288601,0.79625879,0.909294991,0.89959264,0.889117236,0.880338027,335.9769559,,0.79625879,0.793209385
54,0.454111007,0.628268439,0.795007168,0.911145734,0.901124323,0.890275379,0.883011076,338.5504634,,0.795007168,0.796554628
55,0.452791116,0.625401088,0.795394033,0.909702832,0.899812242,0.88903943,0.888820431,337.572294,,0.795394033,0.796122249
56,0.454748197,0.627722277,0.796349817,0.911029727,0.900993425,0.890208095,0.883689263,337.850831,,0.796349817,0.795166466
57,0.450970576,0.625469358,0.793072844,0.909137128,0.899356294,0.888842549,0.884966546,337.8208771,,0.793072844,0.797487654
58,0.455726737,0.62763125,0.79457479,0.912411706,0.902189946,0.891185129,0.884649025,338.7552202,,0.79457479,0.794096898
59,0.455908791,0.627039574,0.793050088,0.912313925,0.901986609,0.891185488,0.874432285,341.4523911,,0.793050088,0.793960358
60,0.455476413,0.624012926,0.793436952,0.911680819,0.901655912,0.890639138,0.880389243,335.8939455,,0.793436952,0.796645655
61,0.455931548,0.628450493,0.796713925,0.910693639,0.90089463,0.890181418,0.884177985,337.7452719,,0.796713925,0.797487654
62,0.454588899,0.62699406,0.795576087,0.910545238,0.900674609,0.889959169,0.884611708,335.9259362,,0.795576087,0.79723733
63,0.456250142,0.627176115,0.79282252,0.911140872,0.901233381,0.890605206,0.873017892,340.6543207,,0.79282252,0.795735384
64,0.455453656,0.628063628,0.795962952,0.912460204,0.902107864,0.891026923,0.885028815,340.2879744,,0.795962952,0.797123546
65,0.456454953,0.629360763,0.793550736,0.91159786,0.901599762,0.890957862,0.882233729,336.8503578,,0.793550736,0.795530574
66,0.456841818,0.629019412,0.798124844,0.911099684,0.901203139,0.890434036,0.889610077,336.3014455,,0.798124844,0.798671006
67,0.456181872,0.629087682,0.796895979,0.911083451,0.901117935,0.890480316,0.888907416,344.7270741,,0.796895979,0.796099493
68,0.455180575,0.627722277,0.793641763,0.91118667,0.9012082,0.890607334,0.873075286,341.2628279,,0.793641763,0.794916141
69,0.455863277,0.629406276,0.79632706,0.911075151,0.901128604,0.890452202,0.889633192,333.5730305,,0.79632706,0.795621601
70,0.454224791,0.628040871,0.793892087,0.911308879,0.901284216,0.890623852,0.885054141,338.5073268,,0.793892087,0.795507817
71,0.455180575,0.628951141,0.796486357,0.911397755,0.901393614,0.890693079,0.885803276,337.7154372,,0.796486357,0.79632706
72,0.454202034,0.626834763,0.795962952,0.910786238,0.900802138,0.889895937,0.884123333,339.6652868,,0.795962952,0.796759438
73,0.456432196,0.62952006,0.79380106,0.911998151,0.901890698,0.891303462,0.870729172,352.793395,,0.79380106,0.798739276
74,0.455317115,0.628723574,0.796600141,0.910639757,0.900797336,0.890209485,0.887199177,373.0657132,,0.796600141,0.796941492
75,0.45822998,0.63211433,0.800355005,0.911274264,0.901319135,0.890659826,0.889649186,385.1250768,,0.800355005,0.799490249
76,0.457228683,0.62938352,0.797601438,0.912152328,0.901950847,0.891117658,0.888630054,338.3753681,,0.797601438,0.794984412
77,0.457911385,0.630726168,0.797555925,0.910746535,0.901001014,0.890535991,0.887391572,336.7104807,,0.797555925,0.796531871
78,0.456113602,0.626971304,0.794847871,0.912663234,0.902319301,0.891166037,0.882854506,331.4989121,,0.794847871,0.799535762
79,0.455954304,0.630521357,0.798033817,0.911378243,0.901270754,0.89063241,0.882780055,336.8124528,,0.798033817,0.799194411
80,0.455544683,0.629747628,0.795211979,0.911292259,0.90128335,0.890636746,0.878446562,339.6121626,,0.795211979,0.796509114
81,0.457638304,0.630088979,0.794369979,0.911384053,0.90141088,0.890899549,0.879902637,338.1895909,,0.794369979,0.798534465
82,0.454270305,0.629565574,0.796281547,0.910261481,0.90045147,0.889957678,0.885856938,346.1284623,,0.796281547,0.794233439
83,0.45640944,0.629975195,0.79639533,0.910688493,0.900828361,0.890119453,0.887362971,338.25911,,0.79639533,0.795962952
84,0.457911385,0.630339303,0.797419384,0.911618486,0.901734211,0.890988776,0.8899924,342.0326591,,0.797419384,0.799262681
85,0.454588899,0.628564276,0.795325763,0.910948343,0.900961259,0.890241514,0.886465416,334.9823165,,0.795325763,0.796008466
86,0.457001115,0.631431627,0.798807546,0.911548782,0.901477628,0.890875088,0.88647688,337.3906002,,0.798807546,0.793823817
87,0.456227385,0.630202763,0.795985709,0.910626268,0.900731988,0.890322573,0.879460719,336.0339007,,0.795985709,0.798102087
88,0.45661425,0.627608493,0.795917438,0.91110865,0.901178459,0.890444701,0.88488362,337.2362423,,0.795917438,0.79801106
89,0.454520629,0.628564276,0.7973056,0.910259233,0.900476428,0.889881478,0.886519325,335.9910223,,0.7973056,0.791206791
90,0.455590196,0.629338006,0.796736682,0.911021556,0.901125918,0.890300351,0.884469358,338.0284014,,0.796736682,0.79450652
91,0.455658467,0.630248276,0.798966843,0.911948281,0.901786659,0.89096743,0.886208022,339.0449371,,0.798966843,0.798488952
92,0.456864575,0.631955033,0.798238627,0.911673139,0.901535299,0.890911874,0.887727149,341.2816484,,0.798238627,0.796145006
93,0.456523223,0.63043033,0.797464898,0.911206498,0.901302099,0.890567386,0.886943266,333.4405274,,0.797464898,0.792071547
94,0.456022575,0.629702114,0.796531871,0.911704726,0.901555415,0.890744467,0.888312299,335.1862111,,0.796531871,0.798671006
95,0.455271602,0.627995358,0.79380106,0.909826085,0.900124908,0.88976,0.879249611,337.68804,,0.79380106,0.793505223
96,0.456113602,0.631067519,0.798784789,0.911116874,0.901152845,0.890377569,0.884408563,334.7671673,,0.798784789,0.797829006
97,0.457547277,0.63036206,0.797715222,0.911454439,0.901482708,0.890732234,0.885540596,336.7416437,,0.797715222,0.798443438
98,0.456113602,0.63029379,0.797760735,0.911142951,0.901212814,0.890460722,0.888697593,342.4737909,,0.797760735,0.793277655
99,0.45479371,0.629793141,0.796987006,0.910330047,0.900531921,0.890107488,0.887558461,337.0174613,,0.796987006,0.795257493
