epoch,r1_rec,r1_ndcg,r2_rec,r2_ndcg,r3_rec,r3_ndcg,AUC
0,0.041666666666666664,0.3333333333333333,0.125,0.41058407136850616,0.25,0.4510654433341624,0.4546485260770975
1,0.041666666666666664,0.3333333333333333,0.125,0.41058407136850616,0.25,0.4502810296465726,0.4501133786848072
2,0.041666666666666664,0.3333333333333333,0.125,0.41058407136850616,0.25,0.4502810296465726,0.44784580498866217
3,0.041666666666666664,0.3333333333333333,0.125,0.41058407136850616,0.25,0.4502810296465726,0.441609977324263
4,0.041666666666666664,0.3333333333333333,0.125,0.41058407136850616,0.25,0.4502810296465726,0.43480725623582767
5,0.041666666666666664,0.3333333333333333,0.125,0.41058407136850616,0.25,0.4502810296465726,0.42772108843537415
6,0.041666666666666664,0.3562071871080222,0.125,0.421318284327123,0.25,0.45720271300481236,0.42261904761904767
7,0.041666666666666664,0.3562071871080222,0.125,0.421318284327123,0.25,0.45720271300481236,0.4109977324263039
8,0.041666666666666664,0.3562071871080222,0.125,0.421318284327123,0.25,0.45720271300481236,0.4050453514739229
9,0.041666666666666664,0.3562071871080222,0.125,0.41723331099131933,0.25,0.4538314416302002,0.3993764172335601
10,0.041666666666666664,0.3562071871080222,0.125,0.41723331099131933,0.25,0.45313687220378507,0.3945578231292517
11,0.041666666666666664,0.3562071871080222,0.125,0.41723331099131933,0.25,0.45313687220378507,0.39058956916099774
12,0.041666666666666664,0.3562071871080222,0.125,0.41723331099131933,0.25,0.45313687220378507,0.38747165532879824
13,0.041666666666666664,0.3562071871080222,0.125,0.41723331099131933,0.25,0.45313687220378507,0.3852040816326531
14,0.041666666666666664,0.3562071871080222,0.125,0.41723331099131933,0.25,0.453757747408707,0.38265306122448983
15,0.041666666666666664,0.3562071871080222,0.125,0.41409312759664707,0.25,0.45173288026395036,0.38208616780045357
16,0.041666666666666664,0.3333333333333333,0.125,0.40335891463803025,0.25,0.4448111969057106,0.38095238095238093
17,0.041666666666666664,0.3333333333333333,0.125,0.40335891463803025,0.25,0.4448111969057106,0.3818027210884355
18,0.041666666666666664,0.3333333333333333,0.125,0.40335891463803025,0.25,0.4448111969057106,0.3818027210884355
19,0.041666666666666664,0.3333333333333333,0.125,0.40335891463803025,0.25,0.4448111969057106,0.3823696145124717
20,0.041666666666666664,0.3333333333333333,0.125,0.40335891463803025,0.25,0.4448111969057106,0.38265306122448983
21,0.041666666666666664,0.3333333333333333,0.125,0.40335891463803025,0.25,0.4448111969057106,0.3837868480725624
22,0.041666666666666664,0.3333333333333333,0.125,0.40335891463803025,0.25,0.4448111969057106,0.38577097505668934
