epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC
0,0.12074733177070296,0.21887445099333228,0.39473863869103154,0.7401879606265307,0.744456276105714,0.746070585263112,0.659637320025699
1,0.19140705004209999,0.3451744305122545,0.5342602917415743,0.7740294036928883,0.7875505831724816,0.7927903228235824,0.7227200591811347
2,0.1995084541337642,0.3576906446988144,0.5667341783674306,0.7801181116475111,0.7922725783951035,0.7973554488883429,0.7511737782646037
3,0.21013585781580685,0.36877318344218646,0.5822315272056983,0.7939590855257094,0.801483013810483,0.8040248185393805,0.7690619102525129
4,0.2190792617709305,0.37946885738342856,0.6000728216098127,0.804118395583066,0.8086785945629182,0.809608932200657,0.7859784508620228
5,0.23175477322895568,0.39810663814486946,0.6195753589877796,0.8135293495475646,0.8160103160515891,0.8156389839417939,0.7946546130268997
6,0.25983660651298274,0.42552852558996884,0.641171517647862,0.8341210553644292,0.8318307994300682,0.828013764389305,0.8033725438684706
7,0.295587465580411,0.4619393304963248,0.6626766492956785,0.8475999059987434,0.8438907101943371,0.8382097064297666,0.8111870373385247
8,0.3238741096420363,0.4851057051179938,0.6768541064560909,0.8539157212182298,0.8504191673065776,0.8442735784100993,0.815739733686604
9,0.3412830257378877,0.4992148920192067,0.6830439432901714,0.8593773875553917,0.855435616437773,0.8487992908772847,0.8204572337141455
10,0.35480053705937237,0.5112532143913706,0.6899164827162461,0.8648187003526262,0.8602305663468051,0.8530075459185968,0.8219581872922362
11,0.36431285984115785,0.5172382404478529,0.6934437794415493,0.8700614580136963,0.8646173379250968,0.8566491007039824,0.8243363687491929
12,0.36877318344218646,0.521288942493685,0.6980178868079102,0.8736070358833142,0.8675435625717407,0.8590824368165748,0.828564623303582
13,0.3718908586122932,0.5246796987005894,0.7020685888537423,0.8775137887950499,0.8706321932390737,0.8615248417075339,0.8318139875189048
14,0.373711398857611,0.5280249414013608,0.7050497235054503,0.8829026324259389,0.874762485524556,0.8647532254598485,0.8368842914548243
15,0.3773297225951801,0.53164326513893,0.7091686958104818,0.8863638029587168,0.8775371500131595,0.867069290938158,0.8373797361538755
16,0.3798557221855586,0.5352615888764991,0.713515235646178,0.8907216473106733,0.8809894979968707,0.8696802981611698,0.844044067919692
17,0.3842250187743213,0.5409052636369843,0.7188858293698656,0.8927806074933133,0.8827932743960674,0.8712727575970928,0.8434939242286089
18,0.3892542612020117,0.5470268302118654,0.7269872334615297,0.8947057250784699,0.8844611130401839,0.8729951943358485,0.8436010962324755
19,0.39150717975559246,0.5490066677286485,0.7302869626561682,0.8966460107638153,0.8860828945273762,0.8743151876849055,0.8493141327576724
20,0.39492069271556335,0.5530118562683476,0.7337459891222721,0.8978969702338513,0.8872503168769288,0.8754240322373934,0.8506537913428281
21,0.4007691782536468,0.5611132603600119,0.735816853651321,0.8993129206126592,0.8885894632012864,0.8771016470773014,0.8524506357546064
22,0.403477231868557,0.5644357463077169,0.7389117720683613,0.8995633825825833,0.8889917470010003,0.8775858220126446,0.8540847352339197
23,0.4048653938056118,0.5673030971940923,0.7390710693398266,0.8994955429811212,0.889089533407865,0.8777278783193625,0.8544450860984067
24,0.4095987984434381,0.5699201237967367,0.7394124206358237,0.9011453590093481,0.8905921430079465,0.8791146370068544,0.8534028904500485
25,0.4127392303666113,0.5728557449423116,0.7406640420544797,0.9016094479557849,0.8911477809378029,0.8797506780067055,0.8543761000138944
26,0.4140363652914002,0.5750176364836265,0.7422797715221993,0.9005135322957563,0.890395775132736,0.8793009653167188,0.857654449419418
27,0.4167899324124434,0.5775891495801379,0.7429852308672599,0.9020838484998286,0.8918506750968475,0.8806302910268061,0.858072159336302
28,0.4184511753862959,0.5792731493070569,0.744965068384043,0.9023157717326222,0.8921899938186582,0.8809706622475929,0.8604163406549766
29,0.4234804178139863,0.5835969323896867,0.7475138247274878,0.9026808637294521,0.8928494215161632,0.8817308588572268,0.861054547378081
30,0.42436793118357874,0.5834148783651548,0.7447375008533782,0.9037329360458272,0.893689871899836,0.882380779399435,0.855280166034614
31,0.42425414741824635,0.5854174726350044,0.7491750677013403,0.903514392919626,0.8934614051478593,0.8823193467507602,0.8625660783567138
32,0.4261202011696971,0.5878296884600506,0.7501308513301322,0.9035150871443304,0.8934979650403001,0.8824403712432214,0.8616523080168356
33,0.4280317684272808,0.589149580137906,0.7504266891199963,0.904170283050771,0.8942638013225246,0.8830590644362796,0.8588283378787961
34,0.4275993901190178,0.5893316341624377,0.7506314998975946,0.9046720502841326,0.8944939566476133,0.8833333436257017,0.8610126306197746
35,0.43003436269713036,0.5916755797282843,0.7525430671551783,0.904559402979642,0.8945672967281395,0.8834899100591856,0.8632769668882865
36,0.42839587647634436,0.5907197960994925,0.7528616616981089,0.9045834831404659,0.8944120446401751,0.88338334154574,0.8619159772894286
37,0.4289647953030062,0.5921307147896138,0.7539767425983661,0.9049116993503765,0.894722956834628,0.8837014472206788,0.8649729200344978
38,0.43046674100539334,0.5943836333431946,0.7565482556948775,0.9053234125036069,0.8952100637627278,0.8842583286799621,0.865521476911831
39,0.429920578931798,0.5934961199736022,0.7568668502378081,0.9050464324314138,0.8948297740049274,0.8839051166506421,0.8648335721467874
40,0.43064879502992515,0.5942015793186628,0.7562069043988804,0.9054102826466167,0.8951708877028289,0.8841700115053943,0.8633410614485659
41,0.4305577680176592,0.5953394169719864,0.7592107958036547,0.9055238408373285,0.8952670769720182,0.8842247561594664,0.8677954849425515
42,0.43062603827685864,0.5951801197005211,0.757777120360467,0.9053664621361898,0.8951485659409051,0.8842153888054312,0.8659260196353086
43,0.4309218760667228,0.5956807682679836,0.7600755524201807,0.9051337661317503,0.8949804608640659,0.8840950818037486,0.8667938625231857
