epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC,time
0,0.370115832,0.52684159,0.715836424,0.882358345,0.874228267,0.864150584,0.850744204,201.9364166
1,0.413763284,0.577634663,0.757026148,0.904638074,0.893419688,0.881636099,0.87249203,235.3767035
2,0.427895228,0.590947364,0.763352525,0.906743584,0.896131687,0.884455924,0.872541087,272.3335381
3,0.427280796,0.588648932,0.756502742,0.908110431,0.89751606,0.885491069,0.859006613,241.53497
4,0.432173497,0.6005052,0.771704253,0.907656405,0.897247671,0.885687289,0.869048765,239.6175649
5,0.433994038,0.603509091,0.776119063,0.908327251,0.897804206,0.886204152,0.871809614,275.2103
6,0.433584416,0.606285415,0.777734793,0.907645653,0.897055413,0.885871496,0.878432876,239.3278608
7,0.438226794,0.608720388,0.77782582,0.909166213,0.898531838,0.887444436,0.875988931,274.0001667
8,0.43811301,0.611269144,0.783037116,0.909076074,0.89831652,0.887379989,0.879359776,238.8832893
9,0.436520037,0.605716496,0.779122955,0.908714357,0.898133725,0.886667197,0.882312014,272.1485746
10,0.43888674,0.611382928,0.787338143,0.908366486,0.897893951,0.886508902,0.885358156,241.8411136
11,0.439000523,0.612293198,0.785176251,0.907723993,0.897410318,0.886719087,0.88127035,237.9358709
12,0.441822361,0.615024008,0.787156089,0.908108931,0.897920452,0.887140393,0.881046957,278.5874236
13,0.441822361,0.614841954,0.784470792,0.907599228,0.897396254,0.88690921,0.878481886,243.2480054
14,0.442095442,0.617481738,0.788066359,0.908211497,0.89775253,0.887115893,0.883537802,280.3264217
15,0.437703388,0.612315955,0.786905764,0.906019915,0.895883777,0.885264634,0.883270916,241.0718968
16,0.441185172,0.613567576,0.782263387,0.907042635,0.896940174,0.886266114,0.88074821,244.1280448
17,0.440183875,0.613840657,0.788794575,0.907596337,0.897327721,0.886332065,0.883893314,275.3214047
18,0.442937442,0.616639738,0.788362196,0.908325766,0.898004769,0.887095932,0.883497026,244.0982685
19,0.443711171,0.614910225,0.78588171,0.90831255,0.898146662,0.887250735,0.885028168,279.2184992
20,0.44505382,0.618005143,0.786746467,0.909070533,0.898782751,0.888105354,0.881160116,240.9582667
21,0.446123387,0.618665089,0.790592358,0.908325921,0.898247678,0.887578728,0.878614253,280.3012733
22,0.445031063,0.618892656,0.791661926,0.908970944,0.898787116,0.887904352,0.887158611,241.9948606
23,0.444849009,0.619142981,0.78931798,0.908879402,0.898719038,0.887912894,0.881532455,244.1036556
24,0.445372414,0.617800332,0.788066359,0.908767054,0.898573747,0.887788762,0.882234578,278.6073923
25,0.443824955,0.617299684,0.788089115,0.907984251,0.89789616,0.887425835,0.883187173,242.4935482
26,0.445941333,0.619507089,0.788749061,0.910272198,0.899771873,0.888899489,0.884396633,279.3941934
27,0.445144847,0.619142981,0.790842683,0.909828336,0.899453423,0.888421005,0.886476927,245.3715882
28,0.446601279,0.621851034,0.792367385,0.908791265,0.898695739,0.88818123,0.885009822,243.1544669
29,0.44680609,0.619598116,0.790342034,0.908856333,0.898739552,0.887898184,0.882087639,279.5472605
30,0.445463441,0.617527251,0.787679494,0.909423021,0.899266819,0.888266133,0.8786858,238.3798742
31,0.44252782,0.617891359,0.789431764,0.906435477,0.896703765,0.886441869,0.883963592,279.4418368
32,0.447625333,0.62082698,0.792412899,0.909674779,0.899419531,0.888616273,0.877475628,238.7063098
33,0.44610063,0.620371845,0.794210682,0.909294431,0.899079517,0.888208015,0.886309956,273.508738
34,0.446897117,0.621350386,0.790910953,0.909592235,0.899280697,0.888568103,0.880920878,239.4617379
35,0.44519036,0.617800332,0.789454521,0.908970549,0.898953719,0.887974126,0.881667995,239.8217156
