epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC,time
0,0.37971918166715973,0.5377420749607446,0.7219352342807728,0.8905062756131634,0.8809601887277339,0.8700258809042507,0.8489462713873573,215.06233954429626
1,0.4170402566961746,0.5801379059235828,0.7561841476458139,0.9048912898161071,0.8938076979246263,0.8820964809890925,0.8731178562868215,252.18067622184753
2,0.4287827412784744,0.595271146712787,0.7661971189950618,0.9072345041024039,0.8963847011495703,0.8847995127390763,0.8751952368869081,292.582706451416
3,0.43096738957285574,0.59570352502105,0.7669708485993219,0.9066397986688175,0.8962880348493456,0.8847671175687375,0.8733139683274305,250.580659866333
4,0.4352229023962861,0.6037594156065813,0.7756411715176479,0.9037790188073623,0.8942011179835776,0.8834691928748093,0.8707990939045303,250.47331976890564
5,0.43713446965386976,0.6079011446646793,0.7786223061693558,0.9051513133624068,0.8952998047729567,0.8844448958847441,0.8741231106965373,294.1707842350006
6,0.4379992262703957,0.607218442072685,0.7795098195389482,0.9026260191789856,0.8934316026363184,0.8831805814312326,0.8798988094787481,267.12304496765137
7,0.4392736044421182,0.6089251985526705,0.7805338734269395,0.9047931436999931,0.8951966754421457,0.8846601789953559,0.8805532541683017,313.041629076004
8,0.4389322531461211,0.6113374143777166,0.7831053865234509,0.9023202725606911,0.8932791458401294,0.8831973116237574,0.882372033817771,262.93791818618774
9,0.43626971303734385,0.6051703342967025,0.7792367385021505,0.9014975096247391,0.8926163618654097,0.8822313209281327,0.8814837503637826,300.62654876708984
10,0.4406390096261065,0.613817900461962,0.7867464670140865,0.9045921192301996,0.8950805313088457,0.8845356668753322,0.8831864702095351,255.99934768676758
11,0.43934187470131764,0.6129531438454361,0.7871788453223494,0.9040131869240283,0.8946775957282431,0.8844395325670786,0.8810282137717349,256.2851459980011
12,0.4429374416858203,0.6162528730400746,0.7884304667410054,0.9060172408256817,0.896409560021922,0.8857949734612254,0.8868113668952842,295.3016846179962
13,0.44193614455089547,0.6144778463008898,0.7836970621031791,0.9050556511806969,0.8955447716262686,0.8853582175759089,0.8774101998127969,254.3251495361328
