epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC,time
0,0.0,0.20833333333333334,0.3333333333333333,0,0.4396512183267704,0.48576760559557136,0.6306689342403629,1.8974604606628418
1,0.0,0.20833333333333334,0.3333333333333333,0,0.4396512183267704,0.48576760559557136,0.6258503401360545,1.985508918762207
2,0.0,0.20833333333333334,0.3333333333333333,0,0.4396512183267704,0.48576760559557136,0.6224489795918368,2.0363707542419434
3,0.0,0.20833333333333334,0.3333333333333333,0,0.4396512183267704,0.48576760559557136,0.6184807256235828,2.144329071044922
4,0.0,0.20833333333333334,0.3333333333333333,0,0.4396512183267704,0.48576760559557136,0.6176303854875282,2.1341054439544678
5,0.0,0.20833333333333334,0.3333333333333333,0,0.4396512183267704,0.48576760559557136,0.6142290249433107,2.0442986488342285
6,0.0,0.20833333333333334,0.3333333333333333,0,0.4396512183267704,0.48576760559557136,0.6125283446712018,2.0553436279296875
7,0.0,0.20833333333333334,0.3333333333333333,0,0.4396512183267704,0.48576760559557136,0.6139455782312926,2.0483036041259766
8,0.0,0.20833333333333334,0.3333333333333333,0,0.4396512183267704,0.48576760559557136,0.6128117913832201,2.0124216079711914
9,0.0,0.20833333333333334,0.3333333333333333,0,0.4414655415600554,0.487120711930529,0.6125283446712018,1.9710595607757568
